LAT,LON,ALL_ROUTES,STP_DESCR
37.77630295,-122.2879752,63,3RD ST:PACIFIC AV
37.77621495,-122.2880702,63 632,3RD ST:PACIFIC AV
37.77340095,-122.2881082,63,3RD ST:SANTA CLARA AV
37.77340295,-122.2882002,63 632,3RD ST:SANTA CLARA AV
37.76915896,-122.2730362,63 W 632,8TH ST:PORTOLA AV
37.76907796,-122.2728382,63 W 632,8TH ST:PORTOLA AV
37.79057896,-122.2939502,63,ALAMEDA FERRY TERMINAL
37.78068696,-122.2671272,19,ATLANTIC AV:#1000
37.78081396,-122.2676412,19,ATLANTIC AV:#1005
37.78024796,-122.2640142,19,ATLANTIC AV:#1105
37.77984296,-122.2875532,63,ATLANTIC AV:3RD ST
37.77979996,-122.2790752,63,ATLANTIC AV:ALEMEDA COLLEGE
37.77993796,-122.2819592,63,ATLANTIC AV:BAINBRIDGE AV
37.78108396,-122.2700602,19,ATLANTIC AV:CHALLENGER DR
37.77983996,-122.2755072,63,ATLANTIC AV:CONSTITUTION WY
37.77990095,-122.2907662,63,ATLANTIC AV:MAIN ST
37.77987496,-122.2841712,63,ATLANTIC AV:POGGI ST
37.78077996,-122.2661102,19,ATLANTIC AV:TRIUMPH DR
37.78062196,-122.2655612,19,ATLANTIC AV:TRIUMPH DR
37.77972596,-122.2810692,63,ATLANTIC AV:W CAMPUS DR
37.77962296,-122.2761302,63,ATLANTIC AV:WEBSTER ST
37.78007496,-122.2640072,19,ATLANTIC AV:WIND RIVER WY
37.74171095,-122.2501632,631,AUGHINBAUGH WY:KOFMAN PKWY
37.73877495,-122.2521202,631 OX 632,AUGHINBAUGH WY:MECARTNEY RD
37.73844495,-122.2519882,631,AUGHINBAUGH WY:MECARTNEY RD
37.74250995,-122.2500902,631 OX 632,AUGHINBAUGH WY:ROBERT DAVEY JR DR
37.74282895,-122.2499982,631,AUGHINBAUGH WY:ROBERT DAVEY JR DR
37.74095095,-122.2509982,631 OX 632,AUGHINBAUGH WY:THE LAGOON
37.74049495,-122.2512372,631,AUGHINBAUGH WY:THE LAGOON
37.76858696,-122.2337792,19,BLANDING AV:BROADWAY
37.76873396,-122.2337252,51 19 W,BLANDING AV:BROADWAY
37.76490596,-122.2370992,51,BROADWAY:LINCOLN AV
37.76492696,-122.2372262,51,BROADWAY:LINCOLN AV
37.76383696,-122.2379562,51,BROADWAY:SANTA CLARA AV
37.76747296,-122.2351232,51 19,BROADWAY:TILDEN WY
37.76781396,-122.2346682,19,BROADWAY:TILDEN WY
37.77275996,-122.2500552,19,BUENA VISTA AV:CHESTNUT ST
37.77251796,-122.2497402,19,BUENA VISTA AV:CHESTNUT ST
37.77450196,-122.2542992,19,BUENA VISTA AV:GRAND ST
37.77459496,-122.2542692,19,BUENA VISTA AV:GRAND ST
37.77667896,-122.2598042,19,BUENA VISTA AV:JAY ST
37.77652296,-122.2594702,19,BUENA VISTA AV:JAY ST
37.76890896,-122.2414462,19,BUENA VISTA AV:OAK ST
37.76901796,-122.2414502,19,BUENA VISTA AV:OAK ST
37.76808396,-122.2393432,19,BUENA VISTA AV:PARK ST
