LAT,LON,BRANCH,ADRRESS
37.8289608,-122.2791842,West Oakland Branch,"1801 Adeline Street, Oakland, CA 94608"
37.80903494,-122.2492038,Lakeview Branch,"550 El Embarcadero, Oakland, CA 94610"
37.80632253,-122.2763262,African American Museum and Library at Oakland,"659 14th Street, Oakland, CA 94612"
37.80125935,-122.2634929,Main Library,"125 14th Street, Oakland, CA 94612"
37.83935707,-122.2512585,Rockridge Branch,"5366 College Avenue, Oakland, CA 94618"
37.75283967,-122.1860967,81st Avenue East Oakland Community Library,"1021 81st Avenue, Oakland, CA 94621"
37.82767146,-122.2482192,Piedmont Avenue Branch,"80 Echo Avenue, Oakland, CA 94611"
37.83924416,-122.2823819,Golden Gate Branch,"5606 San Pablo Avenue, Oakland, CA 94608"
37.76652501,-122.1777012,Eastmont Branch,"7200 Bancroft Avenue, Suite 211 Oakland, CA 94605"
37.83212408,-122.2139222,Montclair Branch,"1687 Mountain Boulevard, Oakland, CA 94611"
37.77263393,-122.2074921,Melrose Branch,"4805 Foothill Boulevard, Oakland, CA 94601"
37.83818551,-122.2622248,Temescal Branch,"5205 Telegraph Avenue, Oakland, CA 94609"
37.73780594,-122.1885539,Brookfield Branch,"9255 Edes Avenue, Oakland, CA 94703"
37.80142123,-122.2157568,Dimond Branch,"3565 Fruitvale Avenue, Oakland, CA 94602"
37.77616826,-122.2249839,César E. Chávez Branch,"3301 East 12th Street, Suite 271, Oakland, CA 94601"
37.75136496,-122.1747657,Elmhurst Branch,"1427 88th Avenue, Oakland, CA 94621"
37.83818551,-122.2622248,Temescal Tool Lending Library,"5205 Telegraph Avenue, Oakland, CA 94609"
37.8003326,-122.2718116,Asian Branch,"388 9th Street, Suite 190, Oakland, CA 94607"
37.7609364,-122.1908696,"Martin Luther King, Jr. Branch","6833 International Boulevard, Oakland, CA 94621"
