Lat,Long,SCHOOL,ADDRESS,GradeLevel,SchoolType
37.83385686,-122.2614983,BAY AREA TECHNOLOGY SCHOOL (6-8),4521 Webster St.,,
37.84561526,-122.2836746,BERKLEY MAYNARD ACADEMY (K-5),6200 San Pablo Ave,,
37.84561526,-122.2836746,CALIFORNIA COLLEGE PREPARATORY ACADEMY,6200 San Pablo Avenue,,
37.79998448,-122.1839425,CONSERVATORY OF INSTRUMENTAL AND VOCAL ARTS (COVA),3800 Mountain Blvd.,,
37.77174971,-122.1911268,EAST OAKLAND LEADERSHIP ACADEMY HIGH (EOLAH),5856 Foothill Blvd,,
37.7471751,-122.1617477,EDUCATION FOR CHANGE AT COX ELEMENTARY (K-5),9860 Sunnyside St,,
37.77572502,-122.21226,HUERTA (DOLORES) LEARNING ACADEMY (K-8),1936 Courtland Ave,,
37.77385679,-122.1821832,MILLSMONT ACADEMY,3200 62nd Ave,,
37.76146859,-122.1703412,MILLSMONT ACADEMY SECONDARY,8030 Atherton Street,,
37.74278046,-122.1677431,MONARCH ACADEMY (K-5),1445 101st Ave,,
37.73291834,-122.2137795,OAKLAND AVIATION HIGH SCHOOL (9),7850 Earhart Road (Oakland Airport,,
37.77822825,-122.2281011,OAKLAND CHARTER ACADEMY (6-8),3001 International Blvd,,
37.81531604,-122.3080339,"OAKLAND MILITARY INSTITUTE, COLLEGE PREP. ACADEMY (6-12)",2405 W.14th St. (Oakland Army Base,,
37.72947351,-122.1799237,WILSON (LIONEL) COLLEGE PREPARATORY ACADEMY (9-12),400 105th Ave,,
37.78347052,-122.2353817,YOUTH EMPLOYMENT PARTNERSHIP,2300 International Blvd,,
37.83453992,-122.2580052,EMERSON ELEMENTARY,4803 Lawton Ave,,
37.84108151,-122.2326291,HILLCREST ELEMENTARY,30 Marguerite Dr,,
37.85259956,-122.2313546,KAISER ELEMENTARY,25 S Hill Ct,,
37.81020138,-122.2790996,LAFAYETTE ELEMENTARY,1700 Market St,,
37.81147726,-122.2490097,LAKEVIEW ELEMENTARY,746 Grand Ave,,
37.79981812,-122.2673446,LINCOLN ELEMENTARY,225 11th St,,
37.82826469,-122.2482283,PIEDMONT AVENUE ELEMENTARY,4314 Piedmont Ave,,
37.80816764,-122.2976382,PREPARATORY LITERARY ACADEMY OF CULTURAL EXCELLENCE (PLACE) @ PRESCOTT,920 Campbell St,,
37.84665264,-122.2637137,SANKOFA ACADEMY,581 61st St,,
37.83567212,-122.2109261,THORNHILL ELEMENTARY,5880 Thornhill Dr,,
37.77361082,-122.2214646,ASCEND ELEMENTARY,3709 E 12th St,,
37.80391086,-122.2438431,CLEVELAND ELEMENTARY,745 Cleveland St,,
37.78638909,-122.2354467,GARFIELD ELEMENTARY,1640 22nd Ave,,
37.77997997,-122.2129723,GLOBAL FAMILY SCHOOL,2035 40th Ave.,,
37.7793995,-122.230784,INTERNATIONAL COMM. ELEMENTARY,2825 International Blvd,,
37.77997997,-122.2129723,JEFFERSON ELEMENTARY,2035 40th Ave,,
37.81898721,-122.2021979,JOAQUIN MILLER ELEMENTARY,5525 Ascot Dr,,
37.77997997,-122.2129723,LEARNING WITHOUT LIMITS,2035 40th Ave,,
37.8306537,-122.2126429,MONTCLAIR ELEMENTARY,1757 Mountain Blvd,,
37.7793995,-122.230784,THINK COLLEGE NOW,2825 International Blvd,,
37.76736367,-122.2076328,BRIDGES ACADEMY AT MELROSE,1325 53rd Ave,,
37.77495975,-122.1670359,BURCKHALTER ELEMENTARY,3994 Burckhalter Ave,,
37.7807945,-122.1977959,MAXWELL PARK ELEMENTARY,4730 Fleming Ave,,
37.79755465,-122.1863802,REDWOOD HEIGHTS ELEMENTARY,4401 39th Ave,,
37.80206253,-122.2105117,SEQUOIA ELEMENTARY,3730 Lincoln Ave,,
37.78657081,-122.1882106,TILDEN ELEMENTARY,4551 Steele St,,
37.7538092,-122.187109,ACORN WOODLAND ELEMENTARY,1025 81st Ave,,
37.73494336,-122.189461,BROOKFIELD VILLAGE ELEMENTARY,401 Jones Ave,,
37.76071289,-122.1931236,COMMUNITY UNITED ELEMENTARY SCHOOL,6701 International Blvd.,,
37.7538092,-122.187109,ENCOMPASS ACADEMY,1025 81st Ave,,
37.76071289,-122.1931236,FUTURES ELEMENTARY,6701 International Blvd,,
37.75245868,-122.1248269,GRASS VALLEY ELEMENTARY,4720 Dunkirk Ave,,
37.76195699,-122.1524744,HOWARD ELEMENTARY,8755 Fontaine St,,
37.76071289,-122.1931236,LOCKWOOD ELEMENTARY,6701 International Blvd,,
37.76566588,-122.166182,PARKER ELEMENTARY,7929 Ney Ave,,
